year,prize,grand_slam,grand_slam_gender
2015,1880000,wimbledon,women
2014,1760000,wimbledon,women
2013,1600000,wimbledon,women
2012,1150000,wimbledon,women
2011,1100000,wimbledon,women
2010,1000000,wimbledon,women
2009,850000,wimbledon,women
2008,750000,wimbledon,women
2007,700000,wimbledon,women
2006,625000,wimbledon,women
2005,600000,wimbledon,women
2004,560500,wimbledon,women
2003,535000,wimbledon,women
2002,486000,wimbledon,women
2001,462500,wimbledon,women
2000,430000,wimbledon,women
1999,409500,wimbledon,women
1998,391500,wimbledon,women
1997,373500,wimbledon,women
1996,353000,wimbledon,women
1995,328000,wimbledon,women
1994,310000,wimbledon,women
1993,275000,wimbledon,women
1992,240000,wimbledon,women
1991,216000,wimbledon,women
1990,207000,wimbledon,women
1989,171000,wimbledon,women
1988,148500,wimbledon,women
1987,139500,wimbledon,women
1986,126000,wimbledon,women
1985,117000,wimbledon,women
1984,90000,wimbledon,women
1983,60000,wimbledon,women
1982,37500,wimbledon,women
1981,19400,wimbledon,women
1980,18000,wimbledon,women
1979,18000,wimbledon,women
1978,17100,wimbledon,women
1977,13500,wimbledon,women
1976,10000,wimbledon,women
1975,7000,wimbledon,women
1974,7000,wimbledon,women
1973,3000,wimbledon,women
1972,3000,wimbledon,women
1971,1800,wimbledon,women
1970,1500,wimbledon,women
1969,1500,wimbledon,women
1968,750,wimbledon,women
2015,1880000,wimbledon,men
2014,1760000,wimbledon,men
2013,1600000,wimbledon,men
2012,1150000,wimbledon,men
2011,1100000,wimbledon,men
2010,1000000,wimbledon,men
2009,850000,wimbledon,men
2008,750000,wimbledon,men
2007,700000,wimbledon,men
2006,655000,wimbledon,men
2005,630000,wimbledon,men
2004,602500,wimbledon,men
2003,575000,wimbledon,men
2002,525000,wimbledon,men
2001,500000,wimbledon,men
2000,477500,wimbledon,men
1999,455000,wimbledon,men
1998,435000,wimbledon,men
1997,415000,wimbledon,men
1996,392500,wimbledon,men
1995,365000,wimbledon,men
1994,345000,wimbledon,men
1993,305000,wimbledon,men
1992,265000,wimbledon,men
1991,240000,wimbledon,men
1990,230000,wimbledon,men
1989,190000,wimbledon,men
1988,165000,wimbledon,men
1987,155000,wimbledon,men
1986,140000,wimbledon,men
1985,130000,wimbledon,men
1984,100000,wimbledon,men
1983,66600,wimbledon,men
1982,41667,wimbledon,men
1981,21600,wimbledon,men
1980,20000,wimbledon,men
1979,20000,wimbledon,men
1978,19000,wimbledon,men
1977,15000,wimbledon,men
1976,12500,wimbledon,men
1975,10000,wimbledon,men
1974,10000,wimbledon,men
1973,5000,wimbledon,men
1972,5000,wimbledon,men
1971,3750,wimbledon,men
1970,3000,wimbledon,men
1969,3000,wimbledon,men
1968,2000,wimbledon,men
2015,3300000,us_open,women
2014,3000000,us_open,women
2013,2600000,us_open,women
2012,1900000,us_open,women
2011,1800000,us_open,women
2010,1700000,us_open,women
2009,1600000,us_open,women
2008,1500000,us_open,women
2007,1400000,us_open,women
2006,1200000,us_open,women
2005,1100000,us_open,women
2004,1000000,us_open,women
2003,1000000,us_open,women
2002,900000,us_open,women
2001,850000,us_open,women
2000,800000,us_open,women
1999,750000,us_open,women
1998,700000,us_open,women
1997,650000,us_open,women
1996,600000,us_open,women
1995,575000,us_open,women
1994,550000,us_open,women
1993,535000,us_open,women
1992,500000,us_open,women
1991,400000,us_open,women
1990,350000,us_open,women
1989,300000,us_open,women
1988,275000,us_open,women
1987,250000,us_open,women
1986,210000,us_open,women
1985,187500,us_open,women
1984,160000,us_open,women
1983,120000,us_open,women
1982,90000,us_open,women
1981,66000,us_open,women
1980,46000,us_open,women
1979,39000,us_open,women
1978,38000,us_open,women
1977,33000,us_open,women
1976,30000,us_open,women
1975,25000,us_open,women
1974,22500,us_open,women
1973,25000,us_open,women
1972,10000,us_open,women
1971,5000,us_open,women
1970,7500,us_open,women
1969,6000,us_open,women
1968,6000,us_open,women
2015,3300000,us_open,men
2014,3000000,us_open,men
2013,2600000,us_open,men
2012,1900000,us_open,men
2011,1800000,us_open,men
2010,1700000,us_open,men
2009,1600000,us_open,men
2008,1500000,us_open,men
2007,1400000,us_open,men
2006,1200000,us_open,men
2005,1100000,us_open,men
2004,1000000,us_open,men
2003,1000000,us_open,men
2002,900000,us_open,men
2001,850000,us_open,men
2000,800000,us_open,men
1999,750000,us_open,men
1998,700000,us_open,men
1997,650000,us_open,men
1996,600000,us_open,men
1995,575000,us_open,men
1994,550000,us_open,men
1993,535000,us_open,men
1992,500000,us_open,men
1991,400000,us_open,men
1990,350000,us_open,men
1989,300000,us_open,men
1988,275000,us_open,men
1987,250000,us_open,men
1986,210000,us_open,men
1985,187500,us_open,men
1984,160000,us_open,men
1983,120000,us_open,men
1982,90000,us_open,men
1981,66000,us_open,men
1980,46000,us_open,men
1979,39000,us_open,men
1978,38000,us_open,men
1977,33000,us_open,men
1976,30000,us_open,men
1975,25000,us_open,men
1974,22500,us_open,men
1973,25000,us_open,men
1972,25000,us_open,men
1971,15000,us_open,men
1970,20000,us_open,men
1969,16000,us_open,men
1968,14000,us_open,men
2015,3100000,aus_open,women
2014,2650000,aus_open,women
2013,2430000,aus_open,women
2012,2300000,aus_open,women
2011,2200000,aus_open,women
2010,2100000,aus_open,women
2009,2000000,aus_open,women
2008,1370000,aus_open,women
2007,1281000,aus_open,women
2006,1220000,aus_open,women
2005,1206620,aus_open,women
2004,1200000,aus_open,women
2003,1127850,aus_open,women
2002,1000000,aus_open,women
2001,830500,aus_open,women
2000,717000,aus_open,women
1999,679000,aus_open,women
1998,572000,aus_open,women
1997,542000,aus_open,women
1996,510000,aus_open,women
1995,480000,aus_open,women
1994,460000,aus_open,women
1993,410000,aus_open,women
1992,360000,aus_open,women
1991,320000,aus_open,women
1990,253333,aus_open,women
1989,135000,aus_open,women
1988,110000,aus_open,women
1987,115000,aus_open,women
1986,,aus_open,women
1985,100000,aus_open,women
1984,100000,aus_open,women
1983,75000,aus_open,women
1982,40000,aus_open,women
1981,34000,aus_open,women
1980,32000,aus_open,women
1979,10000,aus_open,women
1978,6000,aus_open,women
1977,,aus_open,women
1976,6000,aus_open,women
1975,6000,aus_open,women
1974,6000,aus_open,women
1973,4500,aus_open,women
1972,1200,aus_open,women
1971,1800,aus_open,women
1970,,aus_open,women
1969,,aus_open,women
1968,,aus_open,women
2015,3100000,aus_open,men
2014,2650000,aus_open,men
2013,2430000,aus_open,men
2012,2300000,aus_open,men
2011,2200000,aus_open,men
2010,2100000,aus_open,men
2009,2000000,aus_open,men
2008,1370000,aus_open,men
2007,1281000,aus_open,men
2006,1220000,aus_open,men
2005,1206620,aus_open,men
2004,1200000,aus_open,men
2003,1127850,aus_open,men
2002,1000000,aus_open,men
2001,830500,aus_open,men
2000,755000,aus_open,men
1999,722000,aus_open,men
1998,615000,aus_open,men
1997,585000,aus_open,men
1996,562000,aus_open,men
1995,480000,aus_open,men
1994,460000,aus_open,men
1993,410000,aus_open,men
1992,360000,aus_open,men
1991,320000,aus_open,men
1990,266667,aus_open,men
1989,140000,aus_open,men
1988,105000,aus_open,men
1987,103875,aus_open,men
1986,,aus_open,men
1985,100000,aus_open,men
1984,100000,aus_open,men
1983,77500,aus_open,men
1982,72000,aus_open,men
1981,64000,aus_open,men
1980,50015,aus_open,men
1979,50015,aus_open,men
1978,41000,aus_open,men
1977,28000,aus_open,men
1976,8156,aus_open,men
1975,9234,aus_open,men
1974,6500,aus_open,men
1973,6750,aus_open,men
1972,2000,aus_open,men
1971,9000,aus_open,men
1970,,aus_open,men
1969,,aus_open,men
1968,,aus_open,men
2015,1800000,roland_garros,women
2014,1650000,roland_garros,women
2013,1500000,roland_garros,women
2012,1250000,roland_garros,women
2011,1200000,roland_garros,women
2010,1120000,roland_garros,women
2009,1060000,roland_garros,women
2008,1000000,roland_garros,women
2007,1000000,roland_garros,women
2006,940000,roland_garros,women
2005,867000,roland_garros,women
2004,838500,roland_garros,women
2003,819000,roland_garros,women
2002,760500,roland_garros,women
2001,4312000,roland_garros,women
2000,4028000,roland_garros,women
1999,3840000,roland_garros,women
1998,3624000,roland_garros,women
1997,3450000,roland_garros,women
1996,3224000,roland_garros,women
